ID,Name,Age,Height,Weight,Overall,Potential,Value,Wage,Nationality,Club,Reputation,Foot
209658,L. Goretzka,27,189,82,87,88,9.1e+07,115000,Germany,FC Bayern München,4,Right
212198,Bruno Fernandes,27,179,69,86,87,78500000,190000,Portugal,Manchester United,3,Right
224334,M. Acuña,30,172,69,85,85,46500000,46000,Argentina,Sevilla FC,2,Left
192985,K. De Bruyne,31,181,70,91,91,107500000,350000,Belgium,Manchester City,4,Right
224232,N. Barella,25,172,68,86,89,89500000,110000,Italy,Inter,3,Right
212622,J. Kimmich,27,177,75,89,90,105500000,130000,Germany,FC Bayern München,4,Right
197445,D. Alaba,30,180,78,86,86,55500000,220000,Austria,Real Madrid CF,4,Left
187961,22 Paulinho,32,183,80,83,83,28500000,61000,Brazil,Al Ahli,3,Right
208333,E. Can,28,186,86,82,82,30500000,63000,Germany,Borussia Dortmund,3,Right
210514,João Cancelo,28,182,74,88,88,82500000,250000,Portugal,Manchester City,3,Right
228251,L. Pellegrini,26,186,77,84,87,5.5e+07,95000,Italy,Roma,2,Right
177003,L. Modrić,36,172,66,88,88,2.9e+07,230000,Croatia,Real Madrid CF,4,Right
223848,S. Milinković-Savić,27,191,76,86,87,77500000,90000,Serbia,Lazio,3,Right
225193,Merino,26,189,83,83,86,4.7e+07,49000,Spain,Real Sociedad,1,Left
226161,Marcos Llorente,27,184,74,84,85,4.8e+07,81000,Spain,Atlético de Madrid,3,Right
212616,R. De Paul,28,180,70,84,84,4.2e+07,85000,Argentina,Atlético de Madrid,1,Right
181458,I. Perišić,33,186,80,84,84,26500000,130000,Croatia,Tottenham Hotspur,3,Right
228702,F. de Jong,25,180,74,87,92,116500000,230000,Netherlands,FC Barcelona,3,Right
194765,A. Griezmann,31,176,73,83,83,30500000,185000,France,Atlético de Madrid,4,Left
193082,J. Cuadrado,34,179,72,83,83,13500000,120000,Colombia,Juventus,3,Right
208574,F. Kostić,29,184,84,85,85,5.3e+07,56000,Serbia,Eintracht Frankfurt,3,Left
231281,T. Alexander-Arnold,23,180,69,87,90,100500000,150000,England,Liverpool,3,Right
176580,L. Suárez,35,182,86,84,84,1.8e+07,1000,Uruguay,Club Nacional de Football,4,Right
235212,A. Hakimi,23,181,73,84,87,53500000,90000,Morocco,Paris Saint-Germain,2,Right
216352,M. Brozović,29,181,68,86,86,5.8e+07,110000,Croatia,Inter,3,Right
209331,M. Salah,30,175,71,90,90,115500000,270000,Egypt,Liverpool,4,Left
241096,S. Tonali,22,181,79,84,90,62500000,75000,Italy,AC Milan,1,Right
